"UggU1NV1RVGulngCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-08-24T19:54:52.557+00:00,0,,,hS3Ies9TXjE,""{""""text"""":""""Rok szkolny coraz bardziej się zbliża . Mimo niechęci do rozpoczęcia go, próbuje się pozytywnie nastawić.""""},{""""text"""":""""\n""""},{""""text"""":""""1. W ostatnim tygodniu wakacji staram się wcześniej chodzić spać i wcześniej wstawać. """"},{""""text"""":""""\n""""},{""""text"""":""""Są to np różnice po 30 minut.""""},{""""text"""":""""\n""""},{""""text"""":""""2. Planuję sobie lunch na każdy dzień tygodnia. Staram się wybierać coś zdrowego i smacznego.""""},{""""text"""":""""\n""""},{""""text"""":""""3.Robię sobie listę rzeczy które będę musiała kupić .""""},{""""text"""":""""\n""""},{""""text"""":""""4. Już podczas szkoły szykuje sobie dzień wcześniej ubrania na następny dzień, aby zaoszczędzić czasu.""""},{""""text"""":""""\n""""},{""""text"""":""""5.odświeżam fryzurę .""""},{""""text"""":""""\n""""},{""""text"""":""""Zawsze mi jakoś lepiej jak mam świeże włosy.""""},{""""text"""":""""\n""""},{""""text"""":""""6.zapisuję ważne rzeczy na tablicy, np. godzine  rozpoczęcia roku .""""},{""""text"""":""""\n""""},{""""text"""":""""7. Staram się nie myśleć o trudnościach jakie mogą mnie spotkać .""""},{""""text"""":""""\n""""},{""""text"""":""""Chyba tyle mam swoich sposobów . Pozdrawiam""""}""";
"Ugh6Doa1nVDQGXgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-08-17T09:04:39.166+00:00,0,,,FFT-fyvB2kA,""{""""text"""":""""biorę udział ! 2012gabi@wp.pl""""}""";
"Uggprqu2R9MXvHgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-05-05T19:59:23.085+00:00,0,,,CJk_LRWcs8g,""{""""text"""":""""\"""" jak chcecie być modne kupcie sobie taki sznurek \""""  😂😂😂""""}""";
"UggHtn7XFAk623gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-05-05T13:42:44.131+00:00,0,,,upuXO35wuR0,""{""""text"""":""""13 wyświetleń  , 60 łapek ?! :/  . Super filmik""""}""";
"UggbMxCbmWktRngCoAEC.8DPWvlL89ou8DPs04zRugY,UCbYIDTfcDLcc1A5lPky6kOg,2016-05-03T11:18:28.647848+00:00,0,UggbMxCbmWktRngCoAEC,,WsfRKCfHt3c,""{""""text"""":""""+Jagna Skorupka  Dzięki ";")""""}"""
"UggbMxCbmWktRngCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-05-03T08:05:30.719+00:00,0,,,WsfRKCfHt3c,""{""""text"""":""""Czy trwają jeszcze promocje w home&you ? Jeśli tak to do kiedy ?""""}""";
"UgjqzHB0icYfuXgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-05-02T07:00:25.145+00:00,0,,,Df0O2079kjA,""{""""text"""":""""\""""ja pierdykam , pierdze  znikam \"""" :D pozdrowienia z podłogi""""}""";
"Ugh6MWXpFT50s3gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-04-25T20:21:11.993+00:00,0,,,Dq4rwFDqcXw,""{""""text"""":""""samnta  lazur""""}""";
"UghO4nfdwEjqK3gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-04-25T20:20:47.785+00:00,0,,,Dq4rwFDqcXw,""{""""text"""":""""Monika nowak""""}""";
"Ugi-yuQRyzIOQngCoAEC.8D5QGi50u_28D5RBpQWEpi,UCbYIDTfcDLcc1A5lPky6kOg,2016-04-25T12:50:36.132976+00:00,0,Ugi-yuQRyzIOQngCoAEC,,pyhSYYrq1mo,""{""""text"""":""""Bershka""""}""";
"UghFfxv4dnmEx3gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-04-17T08:37:10.457+00:00,0,,,UwLtme0B-D4,""{""""text"""":""""Monika Nowak""""}""";
"Ugj7f3Ufp2_4QHgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-04-07T14:44:56.1+00:00,0,,,HSDOP0IlOtU,""{""""text"""":""""winogrono  lub soda""""}""";
"Ugg3YsLTIF9ReHgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-04-05T18:24:21.54+00:00,0,,,HSDOP0IlOtU,""{""""text"""":""""winogrono lub soda  ( ale chyba wole winogrono) Aga nie mam instagrama a mam już mało miejsca na telefonie . Co mam począć ?""""}""";
"Ugjs-thtOSdBNHgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-04-04T19:41:13.813+00:00,0,,,HSDOP0IlOtU,""{""""text"""":""""Aga niestety nie mam instagrama :( I nie mogę Cię zaobserwować .  Ale chciałabym który kolejek zestaw . Obejrzałam każdy odcinek japana  zjadam  I zawsze zazdroscilam ci , gdy jadłam te małe urocze ... posiłki?! Więc bardzo chciała bym poczuć to samo i wgrać jeden zestaw w konkursie . Dodam jeszcze , że jesteś super miła i mega przyjemnie się Ciebie ogląda . pozdrawiam""""}""";
"UgjRDmSrFRozD3gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-04-03T14:15:16.975+00:00,0,,,vpvxMK35T9s,""{""""text"""":""""Kamila , monika""""}""";
"UgjE8GuIyEug_3gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-30T13:33:56.756+00:00,0,,,BnF5FL53YQ4,""{""""text"""":""""W mej szufladzie wiele balsamów do ust gości co jest mym powodem radości .""""},{""""text"""":""""\n""""},{""""text"""":""""Prawie codziennie inny balsam do ust !""""},{""""text"""":""""\n""""},{""""text"""":""""No cóż trzeba przyznać , iż w tej kwesti mam gust .""""},{""""text"""":""""\n""""},{""""text"""":""""Balsamy me dają mi dużo na ustach słodyczy więc  problem tycia mnie nie dotyczy . """"},{""""text"""":""""\n""""},{""""text"""":""""Dają mi też dużo zapachu """"},{""""text"""":""""\n""""},{""""text"""":"""",a cudowny zapach uwalnia od strachu .""""},{""""text"""":""""\n""""},{""""text"""":""""A przede wszystkim Piękne  usta mi dają , które dzięki balsamom zawsze dobrze wyglądają .""""},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""Kocham balsamy do ust i mam ich pełno. Bardzo chciałbym wygrać jedno takie pudełeczko  na prezent urodzinowy dla mamy .  Pozdrawiam :)""""}""";
"UgiZtul98ItDQ3gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-26T22:51:15.166+00:00,0,,,jxbRvKF1G1s,""{""""text"""":""""Pierwszy dzień wiosny """"},{""""text"""":""""\n""""},{""""text"""":""""Oczywiście musi być radosny . """"},{""""text"""":""""\n""""},{""""text"""":""""Wiosna  , Nowy klimat i zakupów szał .""""},{""""text"""":""""\n""""},{""""text"""":"""" To zdecydowanie jest w dziesiątkę strzał .""""},{""""text"""":""""\n""""},{""""text"""":""""Więc ja pierwszy dzień wiosny w galeri spędziłam """"},{""""text"""":""""\n""""},{""""text"""":""""I muszę przyznać , iż się nie nudzilam .""""},{""""text"""":""""\n""""},{""""text"""":""""Dużo ludzi w galeri było i im pewnie też się nie nudziło . """"},{""""text"""":""""\n""""},{""""text"""":""""Każdy wpadł w szał zakupów tak jak ja """"},{""""text"""":""""\n""""},{""""text"""":""""I teraz nowe rzeczy ma . """"},{""""text"""":""""\n""""},{""""text"""":""""Zjadłam obiad w restauracji . """"},{""""text"""":""""\n""""},{""""text"""":""""Tym razem nie było żadnych fast-foodowych wariacji . """"},{""""text"""":""""\n""""},{""""text"""":""""Bluzki,czapki , kosmetyki kupiłam , aż się w Tym wszystkim zgubiłam . """"},{""""text"""":""""\n""""},{""""text"""":""""Tak właśnie wyglądał mój pierwszy dzień wiosny """"},{""""text"""":""""\n""""},{""""text"""":""""I muszę przyznać , że był radosny .""""}""";
"UgifzRJ2b8lg03gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-23T11:22:53.04+00:00,0,,,z7ctz960tcc,""{""""text"""":""""no trudno :P gratuluję zwycięzcom bo naprawdę zasłużyli pisząc tak długie komentarze :)""""}""";
"UghvpFpTmRJqCHgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-19T17:17:40.913+00:00,0,,,VOwfk-hnoAg,""{""""text"""":""""Maks jaki cudowny \u003c3 Ja mam labladora i Też czasem ma napady szału tyle , że ja mieszkam w domu jednorodzinnym i mój Badi ma stały dostęp do podwórka :D""""}""";
"UghnFjmQAN-jj3gCoAEC.8B_7vCBavGK8BabcqY--D6,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-19T07:43:27.349009+00:00,0,UghnFjmQAN-jj3gCoAEC,,M9uSTpnJEI0,""{""""text"""":""""2012gabi@wp.pl""""}""";
"UghnFjmQAN-jj3gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-18T17:55:50.247+00:00,0,,,M9uSTpnJEI0,""{""""text"""":""""Cześć to bardzo miłe ze postanowiłam zorganizować taki konkurs dla swoich widzów . Ja od dawna marzę o miętowym eos , lecz nie mogę przekonać się do kupna . Dlaczego ja ( trudne sprawy) ? Kocham zapach mięty i uwielbiam kiedy na moich ustach unosi się właśnie taki aromat . Niestety żadna z moich dotychczasowych pomadek nie nawilża wystarczająco moich ust skłonnych do częstego pękania . Bardzo chciała bym aby eos to zmienił i moje usta były idealnie nawilżone  . Eos ma takze bardzo nowoczesny desing ,dzięki czemu smarujac się nim przy znajomych , można się , że tak powiem polansowac ";"D . """"},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""Gdy na dworze mroźno wszędzie ,""""},{""""text"""":""""\n""""},{""""text"""":""""I źle twym ustą będzie """"},{""""text"""":""""\n""""},{""""text"""":""""posmaruj je eos ,""""},{""""text"""":""""\n""""},{""""text"""":""""odnowi twe usta w mig ,""""},{""""text"""":""""\n""""},{""""text"""":""""A dalej będzie już szyk !""""}"""
"UggrQ8GFxD5P-XgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-17T13:07:13.278+00:00,0,,,lYPgP4FoLtA,""{""""text"""":""""mam pytanko . sama wymyslilas nazwę vlogster ? bo jeszcze takiej nie widzialam""""}""";
"Ughi4LljYtgGSXgCoAEC.8BUI39cpBgk8BX0O-upMcG,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-17T12:52:16.866636+00:00,0,Ughi4LljYtgGSXgCoAEC,,lYPgP4FoLtA,""{""""text"""":""""tak ! Jak super ! :))))""""}""";
"Ugg-Ztcafz2W3HgCoAEC.8BVQyD3EHnp8BVR0RuNsqK,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-16T22:06:30.800165+00:00,0,Ugg-Ztcafz2W3HgCoAEC,,E17xVkFrlsQ,""{""""text"""":""""2012gabi@wp.pl""""}""";
"Ugg-Ztcafz2W3HgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-16T22:06:04.333+00:00,0,,,E17xVkFrlsQ,""{""""text"""":""""Cześć , trafiłam tu przypadkowo ! Za waszą pozytywną energię , która może wywołać szczery uśmiech na twarzy od razu leci sub  I lapka w górę :D. Ja wybieram świeczkę o zapachu \""""White tea\"""" . A dlaczego ? Kocham każdego rodzaju herbaty . I właśnie w tej chwili wyobraźcie sobie , że siedzicie sobie wieczorem na fotelu pod kocykiem trzymając w ręku kubek z gorącą herbatą, a obok Was unosi się uwodzicielski zapach herbaty! Czyż to nie byłoby  cudowne ? Bo dla mnie zdecydowanie tak ! :D pozdrawiam ";")""""}"""
"Ughk53sSwtv91HgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-16T21:26:12.99+00:00,0,,,lYPgP4FoLtA,""{""""text"""":""""Część trafiłam tu przypadkowo :D ! A dokładniej trafiłam tu przez nazwę vlogster ! Pomyślałam ze to kreatywne ponieważ nie nazwa Las tych filmów \""""vlog\"""" tylko nadałaś im jakąś  nazwę ! Gdy Cię zobaczyłam od razu cie polubiłam ! Naturalna dziewczyna (bez zbędnych mocnych makijaży) ,a w dodatku skromna i miła ! Dość tego mojego paplania ! Przejdziemy  do sedna sprawy! Mi osobiscie podobaja sie wszystkie , jednak moja szczegolna uwagę przykuł ostatni plecak ! Jego wzór jest nowoczesny i pasuje do jednolitych ubrań :) . Nie mam za bardzo plecaka na wycieczki . No więc co , warto spróbować . jeszcze raz wspomnę , iż ten plecak jest super . Za twoją fajną osobowość od razu leci sub i lapka w górę :D.""""}""";
"UgiXlUSGFdAT9ngCoAEC.8B4AWf4ovSR8B4M1l2dngz,UCbYIDTfcDLcc1A5lPky6kOg,2016-03-06T09:43:30.356712+00:00,0,UgiXlUSGFdAT9ngCoAEC,,cjRGZa5O2PE,""{""""text"""":""""Little boy""""}""";
"UgjdvY70EuTWR3gCoAEC.8Ab0wFP9-mn8AoQQT58bQ5,UCbYIDTfcDLcc1A5lPky6kOg,2016-02-28T19:54:44.660603+00:00,0,UgjdvY70EuTWR3gCoAEC,,0bx2En_Pvuw,""{""""text"""":""""+MagicStar  dzięki :) są też u mnie w biedronce , ale nie kupuje bo chcę  sb nareszcie kupić eos :)""""}""";
"UgiIfpSlG7z4m3gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-02-28T16:33:42.152+00:00,0,,,wRRIrXmOaEA,""{""""text"""":""""super bardzo polubiłam wcześniejsze vlogmarce .Bardzo oryginalny pomysł :)""""}""";
"UgjdvY70EuTWR3gCoAEC.8Ab0wFP9-mn8Ao39Uf4DJm,UCbYIDTfcDLcc1A5lPky6kOg,2016-02-28T16:31:26.921167+00:00,0,UgjdvY70EuTWR3gCoAEC,,0bx2En_Pvuw,""{""""text"""":""""mi nawet się podobały te podróbki eos""""}""";
"Ugi8QZ421H9xzngCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-02-28T16:30:15.192+00:00,0,,,0bx2En_Pvuw,""{""""text"""":""""Paula testowalas już może ten zmywacz?""""}""";
"UgiuYTKzggU63XgCoAEC.8AnDUK6mMzB8Ao2oPy8oap,UCbYIDTfcDLcc1A5lPky6kOg,2016-02-28T16:28:26.157522+00:00,0,UgiuYTKzggU63XgCoAEC,,darB2rR4rFM,""{""""text"""":""""chętnie bym pomogła ale nie oglądam za często  serialu :/""""}""";
"Ugj-iWEwB46bTHgCoAEC.8AidrDIczLG8Ao1fzKlqxL,UCbYIDTfcDLcc1A5lPky6kOg,2016-02-28T16:18:32.672488+00:00,0,Ugj-iWEwB46bTHgCoAEC,,C2-b9N5ii5k,""{""""text"""":""""tangle tezzer nieziemski! Ja też zastanawiam się na kupnem nowego :* :D""""}""";
