Countries;Source;Type;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
Germany; (WDT) 1961-1990, (DeStatis) 1991-1999, WHO 2000-2004,  (DeStatis ) 2005-2010,  (BSI) 2011-2018; Wine;3.02;3.13;3.12;3.11;3.11;3.11;3.12;3.23;3.24;3.22
Germany; (WDT) 1961-1990, (DeStatis) 1991-1999, WHO 2000-2004,  (DeStatis ) 2005-2010,  (BSI) 2011-2018; Spirits;1.97;2.08;2.08;2.08;2.07;2.07;2.08;2.08;2.08;2.15
Germany; (WDT) 1961-1990, (DeStatis) 1991-1999, WHO 2000-2004,  (DeStatis ) 2005-2010,  (BSI) 2011-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Ghana; (FAO) 1961-1999, (FAO, GlobalData, IWSR, Wine Institute) 2000-2018; All types;1.59;1.62;1.68;1.63;1.75;1.83;1.78;1.72;1.67;1.6
Ghana; (FAO) 1961-1999, (FAO, GlobalData, IWSR, Wine Institute) 2000-2018; Beer;0.53;0.53;0.48;0.48;0.47;0.46;0.42;0.43;0.47;0.47
Ghana; (FAO) 1961-1999, (FAO, GlobalData, IWSR, Wine Institute) 2000-2018; Wine;0.05;0.06;0.05;0.04;0.04;0.06;0.08;0.09;0.08;0.07
Ghana; (FAO) 1961-1999, (FAO, GlobalData, IWSR, Wine Institute) 2000-2018; Spirits;0.39;0.39;0.41;0.45;0.53;0.56;0.43;0.4;0.37;0.35
Ghana; (FAO) 1961-1999, (FAO, GlobalData, IWSR, Wine Institute) 2000-2018; Other alcoholic beverages;0.61;0.64;0.73;0.65;0.71;0.75;0.85;0.8;0.75;0.7
Greece; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;6.33;6.45;6.67;6.68;6.68;7.06;7.55;7.62;7.48;8.33
Greece; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;2.13;2.13;2.05;2.15;2.1;2.15;2.19;2.18;2.18;2.31
Greece; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;2.66;2.75;3;2.96;3.01;3.29;3.72;3.8;3.53;4
Greece; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;1.45;1.48;1.52;1.47;1.48;1.54;1.55;1.54;1.68;1.9
Greece; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.08;0.1;0.09;0.09;0.08;0.09;0.09;0.09;0.1;0.12
Grenada; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;8.62;8.68;8.36;8.3;8.2;7.88;7.81;7.77;7.68;7.71
Grenada; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;3.54;3.54;3.38;3.39;3.33;3.32;3.35;3.35;3.33;3.33
Grenada; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.56;0.59;0.58;0.61;0.62;0.54;0.46;0.4;0.41;0.43
Grenada; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;4.21;4.24;4.09;4.05;3.98;3.75;3.78;3.83;3.75;3.75
Grenada; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.31;0.31;0.31;0.25;0.27;0.27;0.22;0.19;0.19;0.19
Guatemala; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;1.63;1.63;1.61;1.6;1.65;1.69;1.83;1.91;2.05;2.03
Guatemala; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;0.9;0.9;0.9;0.91;0.9;0.94;0.93;0.93;0.86;0.83
Guatemala; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.05;0.05;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04
Guatemala; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;0.68;0.68;0.66;0.65;0.69;0.7;0.85;0.94;1.14;1.16
Guatemala; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Guinea; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;0.33;0.33;0.34;0.36;0.38;0.32;0.25;0.24;0.24;0.2
Guinea; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.29;0.29;0.29;0.33;0.36;0.3;0.23;0.22;0.21;0.17
Guinea; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02
Guinea; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.03;0.03;0.03;0.02;0.01;0.01;0.01;0.01;0.01;0.01
Guinea; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Guinea-Bissau; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; All types;3.21;3.31;3.33;3.2;3.13;3.07;2.95;3;3.19;3.06
Guinea-Bissau; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Beer;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.47;0.52;0.46
Guinea-Bissau; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Wine;0.98;1.08;1.1;0.97;0.9;0.84;0.83;0.89;0.92;0.71
Guinea-Bissau; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Spirits;0.54;0.54;0.54;0.54;0.54;0.54;0.43;0.44;0.57;0.57
Guinea-Bissau; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Other alcoholic beverages;1.28;1.28;1.28;1.28;1.28;1.28;1.28;1.2;1.18;1.33
Guyana; (FAO) 1961-1989, (WDT) 1990-1999, (GlobalData, IWSR) 2000-2018; All types;5.11;5.13;5.18;5.34;5.48;5.84;5.72;5.72;5.64;5.56
Guyana; (FAO) 1961-1989, (WDT) 1990-1999, (GlobalData, IWSR) 2000-2018; Beer;2.75;2.75;2.7;2.59;2.51;2.51;2.47;2.41;2.33;2.26
Guyana; (FAO) 1961-1989, (WDT) 1990-1999, (GlobalData, IWSR) 2000-2018; Wine;0.04;0.04;0.03;0;0;0;0.01;0.02;0.02;0.01
Guyana; (FAO) 1961-1989, (WDT) 1990-1999, (GlobalData, IWSR) 2000-2018; Spirits;2.3;2.32;2.43;2.71;2.94;3.3;3.22;3.26;3.26;3.26
Guyana; (FAO) 1961-1989, (WDT) 1990-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.02;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Haiti; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;2.85;3.12;3.13;2.95;2.78;2.69;2.85;2.43;2.36;2.28
Haiti; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;0.55;0.55;0.51;0.4;0.28;0.16;0.13;0.13;0.12;0.11
Haiti; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.03;0.03;0.03;0.01;0.01;0.02;0.01;0.01;0.01;0.01
Haiti; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;2.26;2.53;2.59;2.53;2.47;2.5;2.7;2.28;2.22;2.15
Haiti; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Honduras; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;2.73;2.84;2.67;2.53;2.49;2.42;2.7;2.71;2.71;2.69
Honduras; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;1.6;1.6;1.48;1.33;1.22;1.14;1.14;1.13;1.12;1.08
Honduras; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.04;0.04;0.04;0.02;0.02;0.02;0.04;0.04;0.02;0.02
Honduras; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;1.09;1.2;1.15;1.17;1.25;1.26;1.52;1.53;1.56;1.59
Honduras; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Hungary; (WDT) 1961-1999, WHO 2000-2004, Hungarian Central Statistical Office 2005-2017; All types;10.79;10.79;10.79;11.28;10.95;10.92;10.73;11.13;11.37;10.7
Hungary; (WDT) 1961-1999, WHO 2000-2004, Hungarian Central Statistical Office 2005-2017; Beer;3.96;3.96;3.96;3.93;3.92;3.9;3.78;4.08;4.05;3.9
Hungary; (WDT) 1961-1999, WHO 2000-2004, Hungarian Central Statistical Office 2005-2017; Wine;3.33;3.33;3.33;3.61;3.4;2.93;3.2;3.19;3.51;3.16
Hungary; (WDT) 1961-1999, WHO 2000-2004, Hungarian Central Statistical Office 2005-2017; Spirits;3.5;3.5;3.5;3.74;3.62;4.09;3.74;3.86;3.81;3.64
Hungary; (WDT) 1961-1999, WHO 2000-2004, Hungarian Central Statistical Office 2005-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Iceland; (WDT) 1961-1999, Statistics Iceland 2000-2018; All types;7.72;7.72;7.75;7.49;7.66;7.01;6.8;6.82;6.84;6.79
Iceland; (WDT) 1961-1999, Statistics Iceland 2000-2018; Beer;4.39;4.39;4.42;4.24;4.26;3.86;3.74;3.77;3.68;3.71
Iceland; (WDT) 1961-1999, Statistics Iceland 2000-2018; Wine;2.11;2.11;2.14;2.09;2.15;2.02;1.96;1.95;1.9;1.87
Iceland; (WDT) 1961-1999, Statistics Iceland 2000-2018; Spirits;1.22;1.22;1.19;1.16;1.25;1.13;1.1;1.1;1.26;1.21
Iceland; (WDT) 1961-1999, Statistics Iceland 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
India; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;3.09;3.04;2.85;2.96;3;3;3.03;3.04;2.95;2.73
India; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;0.23;0.23;0.22;0.23;0.21;0.2;0.2;0.18;0.18;0.17
India; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0;0;0;0;0;0;0;0;0;0
India; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;2.85;2.81;2.63;2.73;2.79;2.8;2.84;2.86;2.77;2.56
India; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Indonesia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;0.08;0.08;0.08;0.09;0.08;0.09;0.09;0.08;0.08;0.08
Indonesia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;0.06;0.06;0.06;0.07;0.06;0.07;0.07;0.06;0.06;0.06
Indonesia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Indonesia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Indonesia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Iran (Islamic Republic of); (FAO) 1961-1999, (FAO, IWSR) 2000-2018; All types;0.02;0.03;0.03;0.02;0.01;0.01;0.01;0.02;0.03;0.03
Iran (Islamic Republic of); (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Beer;0;0;0;0;0;0;0;0;0;0
Iran (Islamic Republic of); (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Wine;0;0;0;0;0;0;0;0;0;0
Iran (Islamic Republic of); (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Spirits;0.02;0.03;0.03;0.02;0.01;0.01;0.01;0.02;0.03;0.03
Iran (Islamic Republic of); (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Iraq; (FAO) 1961-1999, (FAO, IWSR) 2000-2018; All types;0.16;0.17;0.17;0.16;0.16;0.15;0.16;0.17;0.18;0.16
Iraq; (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Beer;0.11;0.12;0.12;0.11;0.11;0.1;0.11;0.12;0.12;0.11
Iraq; (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Wine;0;0;0;0;0;0.01;0.01;0.01;0.01;0
Iraq; (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Spirits;0.04;0.04;0.04;0.05;0.05;0.04;0.04;0.05;0.05;0.05
Iraq; (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Ireland; (WDT) 1961-1999, Irish Revenue Commissioners Reports 2000-2018; All types;10.91;11.15;11.13;11.3;10.81;10.88;10.51;11.38;11.49;11.57
Ireland; (WDT) 1961-1999, Irish Revenue Commissioners Reports 2000-2018; Beer;4.92;5.1;5.05;5.23;5.1;5.2;4.99;5.32;5.4;5.58
Ireland; (WDT) 1961-1999, Irish Revenue Commissioners Reports 2000-2018; Wine;2.88;2.89;3;3.03;2.88;2.83;2.65;2.91;2.96;2.91
Ireland; (WDT) 1961-1999, Irish Revenue Commissioners Reports 2000-2018; Spirits;2.29;2.31;2.23;2.18;2.02;1.99;2.01;2.28;2.23;2.17
Ireland; (WDT) 1961-1999, Irish Revenue Commissioners Reports 2000-2018; Other alcoholic beverages;0.82;0.85;0.86;0.86;0.8;0.86;0.86;0.88;0.91;0.92
Israel; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;3.07;3.04;2.91;2.72;2.74;2.71;2.9;2.89;2.81;2.78
Israel; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;1.78;1.78;1.66;1.51;1.58;1.54;1.53;1.44;1.39;1.33
Israel; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.08;0.08;0.07;0.07;0.07;0.07;0.1;0.13;0.13;0.14
Israel; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;1.16;1.15;1.14;1.1;1.05;1.06;1.22;1.27;1.23;1.25
Israel; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.04;0.04;0.04;0.04;0.04;0.04;0.05;0.05;0.06;0.06
Italy; (WDT) 1961-1999, AssoBirra Annual Report 2000-2004, WHO 2005-2014, AssoBirra Annual report 2015-2018; All types;7.65;7.81;7.37;7.1;7.14;7.56;7.35;7.48;6.98;6.95
Italy; (WDT) 1961-1999, AssoBirra Annual Report 2000-2004, WHO 2005-2014, AssoBirra Annual report 2015-2018; Beer;1.99;1.94;1.88;1.82;1.79;1.73;1.7;1.7;1.69;1.66
Italy; (WDT) 1961-1999, AssoBirra Annual Report 2000-2004, WHO 2005-2014, AssoBirra Annual report 2015-2018; Wine;4.83;5.08;4.71;4.58;4.62;4.97;4.86;4.99;4.45;4.45
Italy; (WDT) 1961-1999, AssoBirra Annual Report 2000-2004, WHO 2005-2014, AssoBirra Annual report 2015-2018; Spirits;0.83;0.79;0.79;0.69;0.74;0.86;0.79;0.79;0.84;0.84
Italy; (WDT) 1961-1999, AssoBirra Annual Report 2000-2004, WHO 2005-2014, AssoBirra Annual report 2015-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Jamaica; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;3.46;3.53;3.45;3.29;3.27;3.2;3.16;3.02;2.99;2.94
Jamaica; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;1.19;1.19;1.24;1.22;1.13;1.06;1.03;1.01;1;0.99
Jamaica; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.25;0.3;0.32;0.22;0.14;0.14;0.12;0.09;0.11;0.13
Jamaica; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;1.66;1.69;1.58;1.59;1.79;1.82;1.85;1.79;1.75;1.7
Jamaica; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.35;0.35;0.3;0.26;0.2;0.17;0.15;0.14;0.13;0.13
Japan; (WDT) 1961-1988, National Tax Agency of Japan 1989-2018; All types;8.36;8.81;8.74;8.59;8.55;8.4;8.65;8.5;8.41;8.28
Japan; (WDT) 1961-1988, National Tax Agency of Japan 1989-2018; Beer;1.35;1.35;1.45;1.51;1.53;1.51;1.53;1.56;1.58;1.67
Japan; (WDT) 1961-1988, National Tax Agency of Japan 1989-2018; Wine;0.29;0.39;0.4;0.39;0.4;0.39;0.37;0.36;0.32;0.29
Japan; (WDT) 1961-1988, National Tax Agency of Japan 1989-2018; Spirits;1.63;1.63;1.42;1.26;1.14;1.02;0.9;0.82;0.79;0.74
Japan; (WDT) 1961-1988, National Tax Agency of Japan 1989-2018; Other alcoholic beverages;5.09;5.44;5.47;5.43;5.48;5.49;5.85;5.77;5.72;5.59
Jordan; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;0.25;0.26;0.28;0.3;0.3;0.35;0.35;0.36;0.38;0.46
Jordan; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;0.06;0.06;0.06;0.07;0.05;0.05;0.05;0.05;0.04;0.09
Jordan; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0;0;0.01;0.01;0;0;0;0.01;0.01;0
Jordan; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.19;0.2;0.22;0.21;0.24;0.29;0.29;0.31;0.33;0.36
Jordan; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01
Kazakhstan; (FAO) 1988-1999, (GlobalData, IWSR, OIV) 2000-2006, Statistical Yearbook 2007-2017; All types;3.73;4.16;3.68;3.58;3.33;3.64;3.8;3.73;3.41;3.94
Kazakhstan; (FAO) 1988-1999, (GlobalData, IWSR, OIV) 2000-2006, Statistical Yearbook 2007-2017; Beer;2.52;2.44;2.17;1.95;1.84;1.91;1.81;1.91;1.71;2.01
Kazakhstan; (FAO) 1988-1999, (GlobalData, IWSR, OIV) 2000-2006, Statistical Yearbook 2007-2017; Wine;0.16;0.18;0.16;0.1;0.09;0.07;0.06;0.05;0.05;0.07
Kazakhstan; (FAO) 1988-1999, (GlobalData, IWSR, OIV) 2000-2006, Statistical Yearbook 2007-2017; Spirits;1.05;1.54;1.36;1.52;1.39;1.56;1.92;1.76;1.65;1.86
Kazakhstan; (FAO) 1988-1999, (GlobalData, IWSR, OIV) 2000-2006, Statistical Yearbook 2007-2017; Other alcoholic beverages;0;0;0;0;0;0.09;0;0;0;0
Kenya; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;1.68;1.7;1.73;1.68;1.65;1.45;1.53;1.49;1.47;1.52
Kenya; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;0.81;0.81;0.88;0.84;0.84;0.71;0.89;0.93;0.9;0.95
Kenya; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.04;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Kenya; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.81;0.83;0.79;0.8;0.76;0.7;0.61;0.53;0.54;0.54
Kenya; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.03;0.04;0.03;0.02;0.02;0.01;0.01;0.01;0.01;0.01
Kiribati; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; All types;0.43;0.43;0.43;0.44;0.35;0.33;0.73;0.38;0.54;0.49
Kiribati; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Beer;0.26;0.26;0.26;0.25;0.24;0.23;0.72;0.37;0.44;0.46
Kiribati; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Wine;0;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.03
Kiribati; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Spirits;0.17;0.17;0.17;0.18;0.09;0.09;0;0;0.08;0
Kiribati; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Kuwait; (FAO) 1961-1999, (FAO, IWSR, Wine Institute) 2000-2018; All types;0;0;0;0;0;0;0;0;0;0
Kuwait; (FAO) 1961-1999, (FAO, IWSR, Wine Institute) 2000-2018; Beer;0;0;0;0;0;0;0;0;0;0
Kuwait; (FAO) 1961-1999, (FAO, IWSR, Wine Institute) 2000-2018; Wine;0;0;0;0;0;0;0;0;0;0
Kuwait; (FAO) 1961-1999, (FAO, IWSR, Wine Institute) 2000-2018; Spirits;0;0;0;0;0;0;0;0;0;0
Kuwait; (FAO) 1961-1999, (FAO, IWSR, Wine Institute) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Kyrgyzstan; (FAO) 1985-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;4.02;4.42;4.87;5.32;5.37;6.18;6.03;5.98;5.95;6.02
Kyrgyzstan; (FAO) 1985-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;0.43;0.45;0.47;0.46;0.48;0.64;0.63;0.62;0.63;0.63
Kyrgyzstan; (FAO) 1985-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.23;0.25;0.28;0.29;0.25;0.3;0.3;0.29;0.29;0.29
Kyrgyzstan; (FAO) 1985-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;3.35;3.72;4.13;4.57;4.64;5.24;5.11;5.06;5.03;5.1
Kyrgyzstan; (FAO) 1985-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Lao People's Democratic Republic; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;8.15;8.16;8.07;7.61;7.09;6.74;6.25;6.33;6.3;6.1
Lao People's Democratic Republic; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;3.62;3.62;3.53;3.34;3.01;2.84;2.84;2.83;2.62;2.44
Lao People's Democratic Republic; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.07;0.08;0.08;0.08;0.07;0.07;0.05;0.05;0.04;0.04
Lao People's Democratic Republic; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;4.46;4.46;4.46;4.2;4.01;3.83;3.36;3.45;3.63;3.62
Lao People's Democratic Republic; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Latvia; (WDT) 1980-1999, WHO 2000-2017; All types;12.9;13.2;12.6;11.3;10.8;10.6;10.43;10.2;10.11;9.83
Latvia; (WDT) 1980-1999, WHO 2000-2017; Beer;4.9;5.3;5.3;4.8;4.8;4.8;4.7;4.67;4.86;4.61
Latvia; (WDT) 1980-1999, WHO 2000-2017; Wine;1.7;1.6;1.4;1.3;1.2;1.2;1.1;1.16;1.13;1.05
Latvia; (WDT) 1980-1999, WHO 2000-2017; Spirits;5.3;5.3;5.1;4.5;4.1;4;3.99;3.77;3.57;3.64
Latvia; (WDT) 1980-1999, WHO 2000-2017; Other alcoholic beverages;1;1;0.8;0.7;0.7;0.6;0.64;0.6;0.55;0.53
Lebanon; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;1.14;1.21;1.19;1.18;1.15;1.18;1.18;1.24;1.3;1.37
Lebanon; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;0.38;0.38;0.36;0.35;0.33;0.33;0.27;0.29;0.31;0.37
Lebanon; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.21;0.23;0.23;0.25;0.25;0.24;0.25;0.24;0.21;0.21
Lebanon; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;0.53;0.58;0.58;0.55;0.56;0.6;0.64;0.69;0.75;0.77
Lebanon; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Lesotho; (FAO) 1961-1999, (FAO, GlobalData) 2000-2017; All types;3.56;3.4;2.93;2.95;3.07;2.75;2.55;2.47;2.38;2.75
Lesotho; (FAO) 1961-1999, (FAO, GlobalData) 2000-2017; Beer;1.98;1.98;1.67;1.73;1.64;1.43;1.4;1.41;1.46;1.44
Lesotho; (FAO) 1961-1999, (FAO, GlobalData) 2000-2017; Wine;0.44;0.29;0.13;0.1;0.1;0.1;0.04;0;0;0
Lesotho; (FAO) 1961-1999, (FAO, GlobalData) 2000-2017; Spirits;0.31;0.31;0.31;0.3;0.51;0.41;0.3;0.61;0.58;0.58
Lesotho; (FAO) 1961-1999, (FAO, GlobalData) 2000-2017; Other alcoholic beverages;0.82;0.82;0.82;0.82;0.82;0.82;0.82;0.45;0.34;0.73
Liberia; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;3.12;2.97;2.83;2.81;3.18;3.02;3.74;3.75;3.73;3.65
Liberia; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.38;0.38;0.4;0.36;0.33;0.31;0.56;0.54;0.49;0.33
Liberia; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.44;0.29;0.13;0.1;0.1;0.1;0.04;0;0;0
Liberia; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;2.28;2.28;2.28;2.33;2.73;2.59;3.12;3.21;3.22;3.32
Liberia; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0;0.02;0
Libya; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; All types;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0
Libya; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Beer;0;0;0;0;0;0;0;0;0.01;0
Libya; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Wine;0.01;0.01;0.01;0;0;0;0;0;0;0
Libya; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Spirits;0;0;0;0;0;0;0.01;0.01;0;0
Libya; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0.01;0;0.01;0.01;0;0
Lithuania; (FAO) 1984-1999, WHO 2000-2004, Statistics Lithuania 2005-2018; All types;11.93;11.77;12.14;13.47;14.2;14.9;14.92;14.97;14.76;13.22
Lithuania; (FAO) 1984-1999, WHO 2000-2004, Statistics Lithuania 2005-2018; Beer;4.61;4.59;4.79;5.13;5.36;5.46;5.32;5.64;5.79;5.46
Lithuania; (FAO) 1984-1999, WHO 2000-2004, Statistics Lithuania 2005-2018; Wine;0.88;0.82;0.83;1.05;1.14;1.51;1.5;1.45;1.35;1.1
Lithuania; (FAO) 1984-1999, WHO 2000-2004, Statistics Lithuania 2005-2018; Spirits;4.96;4.88;5.04;5.54;5.78;5.81;5.8;5.67;5.53;4.65
Lithuania; (FAO) 1984-1999, WHO 2000-2004, Statistics Lithuania 2005-2018; Other alcoholic beverages;1.48;1.48;1.48;1.74;1.92;2.12;2.29;2.22;2.1;2.01
