name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,desc_2,desc_3
Elida Natural ASD (Panama),Geisha Coffee Roaster,Medium-Light,United States,Boquete Growing Region,Western Panama,3.25,93,May 2021,"Rich, deep, resoundingly lactic and pungent. Distinct dark chocolate, blue cheese, lily-like flowers, vanilla, pipe tobacco. Savory sweet structure; tangy acidity. Plush, velvety mouthfeel. The chocolate and blue cheese notes sustain in a surprisingly balanced, harmonic finish. ","Produced by the Lamastus family of Elida Estate entirely of the Catuaí variety of Arabica and processed by the anaerobic slow-dry (ASD) natural method (whole fruit is fermented with limited oxygen and dried for over 60 days). Geisha Coffee Roaster is a Florida-based internet retailer offering a wide assortment of coffee from around the world. The company has family ties to coffee farms in Panama, including the farm that produced this coffee. However, the roaster name should not be confused with the Geisha or Gesha coffee variety, the particularly costly, distinguished variety of Arabica also associated with Panama. Visit www.geishacoffee.com or call 407-409-8704 for more information.","A dense and dessert-like coffee, sweet yet pungent, chocolate and cheese."
Ethiopia Oromia Anaerobic Natural,Nine Point Coffee,Medium,Taiwan,Guji Zone,Oromia Region,7.11,93,May 2021,"Roasty-sweet, floral-toned. Golden raisin, gently scorched cedar, dark chocolate, freesia-like flowers, molasses in aroma and cup. Crisply sweet structure with brisk acidity; satiny mouthfeel. Very sweet, long finish with pleasing notes of dark chocolate, freesia, and a complicating hint of smokiness.","Produced by smallholding farmers from largely indigenous Ethiopia landrace varieties of Arabica, and processed by the anaerobic natural method (whole fruit is fermented with limited oxygen before drying). Nine Point Coffee is a Taipei-based specialty roaster and cafe. For more information, visit https://m.facebook.com/NINEPOINTCOFFEE/?locale2=zh_TW.","A lovely darker-roasted Ethiopia processed by the anaerobic natural method, discreetly smoky and richly floral and chocolaty."
Villa Loyola Carbonic Maceration,PT's Coffee Roasting Co.,Medium-Light,United States,Pasto,Nariño Department,5.88,93,May 2021,"Crisply sweet, subtly multi-layered. Date, baking chocolate, lemon verbena, narcissus, fresh-cut fir in aroma and cup. Sweet-tart structure with gently brisk acidity; satiny mouthfeel. Floral, sweetly herbaceous finish.","Produced by Padre José Aguilar Posada of Finca Villa Loyola, entirely of the Caturra variety of Arabica and processed by the carbonic maceration natural method, which involves fermenting whole coffee fruit inside a sealed container that has been flushed with CO2, then drying the coffee still in the whole fruit. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-JAVA for more information.","Carbonic maceration may promote this coffee’s balance and quiet complexity: chocolate, citrus, herb, flowers. "
Castillo El Paraiso,Steady State Roasting,Medium-Light,United States,Cauca Department,Colombia,8.82,93,May 2021,"Intensely fruit-forward, high-toned. Passion fruit, cocoa nib, mango custard, oak, a hint of thyme in aroma and cup. Crisply tart-leaning structure with citrusy acidity; lightly velvety mouthfeel. Quietly fruit-driven finish.","Produced by Diego Samuel at Indestec El Paraiso farm entirely of the Castillo variety of Arabica and processed by the washed anaerobic method, in which the coffee cherries are de-pulped and then fermented in an oxygen-free environment before fruit removal and drying. Steady State Roasting is an award-winning small-batch roastery dedicated to the craft and care of providing specialty coffee. The company takes pride in sourcing unique, high-quality coffee direct from farmers so that customers can enjoy fine coffee at home or in the Steady State tasting room in downtown Carlsbad, California. Visit www.steadystateroasting.com for more information.",A juicy-bright cup for lovers of tart-leaning coffees — think passion fruit softened by cocoa nib.
Ethiopia Yirgacheffe Israel Degfa Natural Gr.1,CofFeeling,Medium-Light,Taiwan,Yirgachefffe Growing Region,Southern Ethiopia,6.34,94,May 2021,"Evaluated as espresso. Sweetly tart, fruit-toned. Tangerine zest, tamarind, cocoa powder, molasses, sandalwood in aroma and small cup. Plush, syrupy mouthfeel; chocolaty, tangy-fruit finish. The milk shot is bright, balanced, and juicy, leading with notes of cocoa powder and tamarind, rounding to molasses in the long.",Produced by Israel Degfa from trees of heirloom varieties of Arabica and processed by the natural method (beans are dried in the whole fruit).  CofFeeling Coffee is based in Kaohsiung City in southern Taiwan. Visit www.coffeelingcafe.com or call +886-7-285-5300 for more information.,"A complex, richly bittersweet single-origin natural-process Ethiopia espresso that emphasizes dark fruit and citrus notes supported by rich cocoa and intimations of deeply aromatic sandalwood."
Sweet Collection Blend,CofFeeling,Medium-Light,Taiwan,Colombia,Guatemala,5.64,93,May 2021,"Evaluated as espresso. Rich-toned, gently fruit-forward. Pomegranate, baking chocolate, narcissus, cedar, almond butter in aroma and small cup. Crisp, velvety mouthfeel; chocolaty, subtly fruit-toned finish. In three parts milk, tart fruit notes soften and baking chocolate and narcissus come forward.","A blend of washed- and honey-processed coffees from Colombia and a washed Guatemala, roasted for espresso. CofFeeling Coffee is based in Kaohsiung City in southern Taiwan. Visit www.coffeelingcafe.com or call +886-7-285-5300 for more information.",A balanced blend of both washed- and natural-processed coffees with delicate fruit and deep chocolate and nut tones throughout. Particularly pretty in milk.
Kenya Nyeri Gachatha Washed AB,Kakalove Cafe,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,4.6,94,June 2021,"Sweetly spice-toned, floral. Wisteria, dark chocolate, black currant, marjoram, pink grapefruit zest in aroma and cup. Sweetly rich, tart structure with vibrant acidity; full, satiny-smooth mouthfeel. Notes of star wisteria and black currant carry the sweet, deep-toned finish.","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A classic Nyeri cup: floral- and fruit-driven, chocolaty, richly aromatic and punctuated with sweet herb undertones."
Rwanda Natural Rutsiro Bugoyi 60-hour Fermentation,Kakalove Cafe,Medium-Light,Taiwan,Rutsiro,Western Province,4.25,93,June 2021,"Richly sweet-savory. Grape candy, cocoa nib, lemon verbena, gardenia, a hint of yogurt in aroma and cup. Sweet-savory structure with brisk acidity; full, creamy mouthfeel. Quiet, fruity finish with undertones of sweet herbs.",Produced entirely of the Bourbon variety of Arabica and processed using a proprietary experimental fermentation method. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,"An unusual Rwanda cup. The experimental processing method may accentuate the complexity of the cup, sweetly fruit-toned yet brisk and savory."
Ethiopia Yirgacheffe G1 Mulugeta Tsige,GK Coffee,Medium-Light,Taiwan,Yirgacheffe Growing Region,South-Central Ethiopia,8.0,95,June 2021,"Lyrically sweet, gently herb-toned, very complex. Bergamot, star jasmine, cocoa nib, sandalwood, marjoram in aroma and cup. Sweet-tart structure with high-toned, juicy acidity; silky, vibrant mouthfeel. Sweetly herbaceous finish with notes of marjoram supported by cocoa nib.","Produced by Mulugeta Tsige from trees of the 74112, 74110 and other traditional Ethiopia varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected]","A multi-layered washed Ethiopia cup with resonant citrus, herb and cocoa notes throughout and a particularly exciting acidity, juicy and balanced."
Kenya AA Top Gathambi Station,GK Coffee,Medium-Light,Taiwan,Kirinyaga,Kenya,8.8,94,June 2021,"Deep-toned, richly sweet-savory. Tamarind, hop flowers, brown sugar, cedar, lemon verbena in aroma and cup. Balanced, bittersweet structure with bright, lively acidity; syrupy-smooth mouthfeel. The finish consolidates to notes of brown sugar, tamarind and cedar.","Produced by smallholding farmers near the Gathambi washing station from trees of the SL28 and SL34 varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected]","A classic Kenya cup, equally sweet and savory, with the exhilarating tart fruit notes and sweet herb tones the origin is admired for."
Ethiopia Guji Gerba Station G1 Natural Espresso,GK Coffee,Medium-Light,Taiwan,Gerbicho Rogicha,Bule Hora District,7.2,94,June 2021,"Evaluated as espresso. Fruit-forward, floral-toned. Narcissus, dried apricot, dark chocolate, hazelnut butter, cedar in aroma and small cup. Creamy, viscous mouthfeel; crisply chocolaty and fruit-centered finish. In three parts milk, floral notes take center stage supported by dark chocolate.","Coffees like this one from southern Ethiopia are produced from distinctive, largely indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected]","A graceful, engaging single-origin natural-processed Yirgacheffe espresso: cleanly fruit-driven, chocolaty, especially floral in three parts milk."
Ethiopia Uraga Washed G1,RamsHead Coffee Roasters,Medium-Light,United States,Guji Zone,Oromia Region,5.28,94,May 2021,"Juicy, bright, intricately balanced. Apricot, cocoa nib, jasmine, maple syrup, almond butter in aroma and cup. Crisply sweet-tart with bright, citrusy acidity; delicate, silky-smooth mouthfeel. Cocoa- and fruit-toned finish with hints of jasmine.","Guji is a coffee-growing region nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions. Processed by the wet or washed method (fruit skin and pulp are removed before drying). RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com.","An integrated, satisfyingly complete washed Ethiopia cup in which fruit, florals and cocoa harmonize."
Rwanda Nyruzisa Station,Jackrabbit Java,Medium-Light,United States,Nyamagabe District,Southern Province,4.12,92,May 2021,"Delicately sweet, crisply floral. Narcissus, pear, macadamia nut, cocoa nib, cedar in aroma and cup. Sweet-toned structure with pert acidity; velvety-smooth mouthfeel. A nougat note surfaces in the floral-toned finish.","Produced from trees of local strains of the heirloom Bourbon variety of Arabica. Epiphanie Mukashyaka established the now-famous Bufcafe washing station or wet mill following the Rwandan genocide. Processed by a Rwandan version of the wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.",Chocolate and flowers: crisp cocoa nib and resonant narcissus-like florals animate this graceful Rwanda cup.
Kenya Lenana AA Plus,RamsHead Coffee Roasters,Medium-Light,United States,Mount Kenya Growing Region,Kenya,5.28,92,May 2021,"Crisply sweet-tart, deeply aromatic. Cocoa powder, date, hazelnut, hop flowers, molasses in aroma and cup. Richly bittersweet structure with brisk acidity; viscous, creamy mouthfeel. The finish consolidates to cocoa-toned hazelnut and molasses.","Produced by smallholding farmers and processed by the washed method (fruit skin and pulp are removed before drying). AA is the highest grade of Kenya coffee based on bean size and freedom from physical imperfections. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com.",A sweet cocoa-toned Kenya cup complicated by appealing bittersweet floral notes suggesting hop flowers.
Ethiopia Sidamo Natural Water Decaf,Jackrabbit Java,Medium-Light,United States,Guji Zone,Oromia Region,4.12,91,May 2021,"Deep-toned, chocolaty. Baking chocolate, date, almond butter, fresh-cut oak, agave syrup in aroma and cup. Sweet-toned structure with gentle, round acidity; full, satiny mouthfeel. Crisp, chocolaty finish with undertones of almond and date.","Produced by smallholding farmers in the Guji region of Ethiopia and processed by the traditional washed method. Decaffeinated at the Descamex plant in Mexico by a water-only process that does not involve the use of solvents. Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.","An impressive water-processed decaf from coffees produced in Ethiopia’s Guji growing area — sweet, chocolaty, with inviting aromatic wood notes."
Grizzly Peak Blend,RamsHead Coffee Roasters,Medium-Light,United States,El Salvador,Colombia,4.69,92,May 2021,"Crisply sweet, chocolaty. Baking chocolate, lily, gently scorched oak, molasses, raisin in aroma and cup. Sweet-toned structure with gentle, round acidity; very full, syrupy mouthfeel. The finish centers around crisp chocolate and lily notes with undertones of gently smoky oak.","A blend of coffees from El Salvador, Colombia and Ethiopia, all processed by the washed method (fruit skin and pulp are removed before drying). RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com.","A deeper-roasted, rich-toned blend that satisfies by foregrounding chocolate and floral notes."
Kenya Karindudu AA,Big Shoulders Coffee,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,6.47,95,May 2021,"Deep-toned, floral and chocolaty. Dark chocolate, honeysuckle, tamarind, mulberry, fresh-cut oak in aroma and cup. Sweet-savory structure with gentle, rounded but vibrant acidity; very syrupy, viscous mouthfeel. Long, lingering, balanced, flavor-saturated finish.","Produced by smallholding farmers from trees of the Batian and Ruiru varieties of Arabica and processed by the washed method. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-888-3042 for more information.","A smooth, deeply sweet, richly savory Kenya cup, chocolaty and floral-driven, with an especially compelling mulberry note throughout."
Colombia Cardona Natural,Nostalgia Coffee Roasters,Light,United States,Santa Barbara,Antioquia Department,7.35,94,May 2021,"Richly fruit-toned, sweetly fermenty. Raspberry coulis, chocolate fudge, wine barrel, narcissus, tangerine zest in aroma and cup. Sweetly tart with vibrant, juicy acidity; very full, syrupy mouthfeel. The fragrant finish suggests a barrel room full of red wine in process.",Produced by Andres Cardona of Villa Lucia Farm from trees of the Castillo and Colombia varieties of Arabica and processed by the natural method. Nostalgia Coffee Roasters was founded by Taylor Fields in 2018 as a mobile café; since it has added specialty roasting and internet retailing of select fine coffees. Visit www.nostalgiacoffeeroasters.com for more information.,"An attractively fruit-toned, natural-processed Colombia with a winey aroma and flavor, supported by notes of rich chocolate and sweet florals."
Ethiopia Guji Anaerobic,Big Shoulders Coffee,Medium-Light,United States,Guji Zone,Oromia Region,7.35,94,May 2021,"Tropical fruit-driven, resonantly aromatic. Lychee, guava, cocoa nib, freesia-like flowers, cedar in aroma and cup. Sweet-tart structure with high-toned acidity; plush, satiny-smooth mouthfeel. The finish centers around notes of lychee and freesia with cocoa undertones.","Produced by smallholding farmers entirely of the Ethiopia Wush Wush variety of Arabica and processed by the anaerobic natural method (whole fruit is fermented with limited oxygen before drying). Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information. ","A big, juicy, cleanly fruit-forward anaerobically processed Ethiopia cup."
Maypop,Lina Premium Coffee,Medium-Light,United States,Risaralda,Colombia,7.35,94,May 2021,"High-toned, juicy-bright. Pineapple, cocoa nib, lemon verbena, myrrh, narcissus in aroma and cup. Sweet-tart structure with bold, balanced acidity; syrupy-smooth mouthfeel. Fruit- and cocoa-toned finish supported by narcissus-like floral notes.",Produced at Finca Milan entirely of the Castillo variety of Arabica and processed by an experimental method in which passion fruit and pineapple are added to the tank during the fermentation stage of the wet or washed method. Lina Premium Coffee is a Bogota-based specialty coffee roaster that works with and supports Colombian farms and farmers. Visit www.linapremiumcoffee.com for more information.,The unconventional addition of fruit to the tank during a long ferment stage contributes to a vibrantly nuanced cup. 
Norte Peru,JBC Coffee Roasters,Medium-Light,United States,Jaén Province,Cajamarca Region,4.64,93,May 2021,"Crisply sweet, rich-toned. Baking chocolate, almond butter, honeysuckle, red grape, maple syrup in aroma and cup. Deeply sweet structure with gentle, round acidity; full, syrupy-smooth mouthfeel. Baking chocolate and red grape complicate the quiet, nut-toned finish.","Certified organic and fair trade. Produced by smallholding farmers of Lima Coffees from trees of the Caturra, Typica, Catimor, Mundo Novo, and Pache varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A deeply sweet, richly aromatic Peru with a crisp chocolate throughline and hints of flowers throughout."
Trivarietal,Lina Premium Coffee,Medium-Light,United States,Risaralda,Colombia,7.28,90,May 2021,"Crisply sweet, cocoa toned. Cocoa powder, date, oak, magnolia, hint of cinnamon in aroma and cup. Sweet-toned structure with pert acidity; velvety mouthfeel. The finish consolidates to notes of magnolia and oak.","Produced at Finca La Riviera from trees of the Geisha, Red Bourbon and Tekisic Bourbon varieties of Arabica and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Lina Premium Coffee is a Bogota-based specialty coffee roaster that works with and supports Colombian farms and farmers. Visit www.linapremiumcoffee.com for more information.","A friendly, accessible, gently medium-roasted Colombia cup with an engaging hint of baking spices."
La Soledad Colombia,JBC Coffee Roasters,Medium-Light,United States,Urrao,Antioquia Department,7.94,94,May 2021,"Crisply sweet, complex, cocoa- and floral-toned. Cocoa nib, star jasmine, plum, tangerine zest, agave syrup in aroma and cup. Vibrantly sweet structure with juicy-bright acidity; plush, syrupy mouthfeel. Chocolaty finish with undertones of plum and tangerine zest.",Produced by Elpidio Arboleda Tabares entirely of the Caturra variety of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,"A bright, juicy-sweet Colombia Caturra — classically chocolaty with rich fruit and floral notes."
Fjord Espresso Blend,Café Hubert Saint-Jean,Medium,Canada,Peru,Ethiopia,5.73,92,May 2021,"Evaluated as espresso. Roast-rounded, chocolaty. Dark chocolate, gardenia, gently scorched cedar, molasses, prune in aroma and small cup. Viscous, creamy mouthfeel; chocolaty, slightly smoky finish. In three parts milk, floral and chocolate notes preside. ","A blend of coffees from Peru (washed process) and Ethiopia (natural process) roasted for espresso applications. Café Hubert Saint-Jean was founded in 1923 and remains a classic café and roastery in the area. For more information, visit www.cafehubertsaintjean.ca.","A darker-roasted espresso blend, chocolaty and floral-toned. Maintains character well in milk preparations."
Natural Mexico Ixhuatlan del Cafe,Ming's Coffee Playroom,Light,Taiwan,Veracruz,Mexico,6.4,93,May 2021,"Vibrant, gently fruit-toned. Dried apricot, lemon drop, freesia-like flowers, oak, honey in aroma and cup. Sweetly tart structure with brisk acidity; full, satiny-smooth mouthfeel. The resonant finish consolidates to notes of lemon balm and honey, supported by fresh-cut oak.","Produced by smallholding farmers in the region of Ixhuatlan del Cafe entirely of the ancient Typica variety of Arabica, and processed by the natural method (beans are dried in the whole fruit). Ming’s Coffee Playroom is a small specialty coffee roaster in New Taipei City, Taiwan. For more information, visit https://www.facebook.com/coffeeplayroom.","A clean, lively natural-processed Typica grown in the Veracruz region of Mexico — bright, deep, elegantly fruit-forward."
Nicaragua Yellow Pacamara Natural,Paradise Roasters,Light,United States,Matagalpa,Nicaragua,26.41,94,June 2021,"Richly sweet-tart, fruit-driven. Dried apricot, almond nougat, clove, freesia-like flowers, lemon verbena in aroma and cup. Sweet-toned structure with complex tart and savory undertones and juicy, bright acidity; nectar-like mouthfeel. The crisp, fruit-forward finish centers around notes of dried apricot and almond nougat.","Produced by the Mierisch family at Finca La Huella entirely of the big-beaned Yellow Pacamara variety of Arabica and processed the natural method (sun-dried in the whole fruit). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","Nuanced and complex, a rare natural-processed Pacamara from Nicaragua. Deep, rich, and sweet-tart-savory in harmonious balance."
Papua New Guinea Sigri Estate Medium Roast,Raggiana Coffee,Medium-Light,United States,Western Highlands,Papua New Guinea,4.7,92,June 2021,"Sweet, richly nut-toned. Cashew butter, cocoa nib, pear, thyme, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; crisp, satiny mouthfeel. Quiet, inviting finish centered around notes of cashew and pear with undertones of cedar.","Produced at Sigri Estate from trees of the Typica and Arusha varieties of Arabica and processed by the washed method. Raggiana Coffee works with farms in Papua New Guinea to source high-quality, sustainably grown coffees and roasts them to sell both as subscriptions and standalone purchases. Visit www.raggiana.co for more information.","An understated, balanced PNG cup with pretty nut tones andcrisp  cocoa throughout."
Ethiopia West Arsi Nensebo Natural G1,Pro Aroma Enterprise Coffee,Medium-Light,Taiwan,Guji Zone,Southern Ethiopia,7.05,95,June 2021,"Delicately berry-toned with savory impulses. Dried strawberry, honey, star jasmine, fresh-cut cedar, macadamia nut in aroma and cup. Sweet-savory structure with vibrant, lively acidity; very full, syrupy-smooth mouthfeel. Resonant, rich finish redolent of strawberry and star jasmine.","Southern Ethiopian coffees like this one are largely produced from indigenous landrace varieties of Arabica long grown in the region. This is a natural-processed version (dried in the whole fruit). Pro Aroma Enterprise Coffee Co., Ltd. is a Taiwan-based specialty coffee company. Visit proaromacafe.com.tw/ for more information.","A juicy fruit-bomb of a natural Ethiopia cup, the fruit complemented by spicy floral and buttery nut tones."
Pamma Classic Blend Espresso,Pamma Coffee,Medium,Taiwan,Ethiopia,Colombia,2.48,91,June 2021,"Evaluated as espresso. Chocolaty and floral-toned. Cocoa powder, gardenia, raisin, fresh-cut fir, molasses in aroma and small cup. Velvety mouthfeel; crisp, chocolaty finish with undertones of molasses and fresh-cut fir. In three parts milk, a sweet earthiness surfaces that, combined with persistent cocoa tones, pleasingly complicates the cup.","A blend of coffees from Ethiopia, Colombia, Brazil, Tanzania and Indonesia, roasted for espresso applications. Pamma Coffee is a roastery and coffee shop in Kaohsiung, Taiwan that specializes in high-quality food and beverages. Visit https://www.facebook.com/PAMMACoffee/ for more information.","A cocoa-driven, floral espresso blend, medium-roasted, that is particularly attractive in the milk shot."
Ethiopia Sidama Bona Sweet Natural,Pro Aroma Enterprise Coffee,Light,Taiwan,Sidamo Zone,Oromia Region,5.88,94,June 2021,"Brightly sweet-tart, fruit-toned. Mango, sandalwood, toffee, cocoa nib, spicy freesia-like flowers in aroma and cup. Tart-leaning structure with crisp, high-toned acidity; syrupy-smooth mouthfeel. Fruit-and floral-toned finish with sandalwood undertones.","Southern Ethiopian coffees like this one are largely produced from indigenous landrace varieties of Arabica long grown in the region. This is a natural-processed version (dried in the whole fruit). Pro Aroma Enterprise Coffee Co., Ltd. is a Taiwan-based specialty coffee company. Visit proaromacafe.com.tw/ for more information.","A fruit-driven, spice-toned Sidamo natural cup with depth and complexity. Particularly juicy acidity."
Congo Square,Three Keys Coffee,Medium-Light,United States,South Kivu Growing Region,Democratic Republic Of The Congo,5.88,94,June 2021,"High-toned, resinously nutty, intensely sweet. Wild honey, plum, magnolia, mesquite, pistachio in aroma and cup. Sweet-tart structure with savory-leaning acidity; viscous, nectar-like mouthfeel. Gentle, sweetly rich finish with notes of wild honey, pistachio and mesquite into the long.","This exceptional coffee was selected as the No. 21 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. This coffee tied for the highest rating in a cupping of African Great Lakes coffees for Coffee Review’s June 2021 report. Certified fair trade and USDA Organic. Named for the birthplace of jazz, Congo Square, in New Orleans. Produced by smallholding farmers entirely of local strains of the Bourbon variety of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Imported by Mighty Peace, a social enterprise organization that supports the Congolese coffee-farming community. Founded in 2019, Three Keys is a craft coffee roastery in Houston, Texas. The company name is inspired by the valves of the trumpet, which has been the instrument of choice for some of the most influential jazz musicians and composers. Three Keys says its coffees “speak a language that’s sophisticated yet accessible to everyone who’s willing to slow down and share a cup.” Visit www.threekeyscoffee.com for more information.","A uniquely structured Congo cup that is equal parts sweet, tart and savory. Resinous nut and mesquite suggestions complement sweet honey notes."
Rwanda Rulindo Tumba,Big Creek Coffee Roasters,Medium-Light,United States,Northern Province,Rwanda,5.0,94,June 2021,"Richly floral, cocoa-toned. Narcissus, cocoa nib, tangerine, fresh-cut oak, date in aroma and cup. Crisply sweet-savory with gentle but vibrant acidity; supple, syrupy mouthfeel. Finish consolidates to cocoa nib and tangerine with hints of narcissus.","This coffee tied for the highest rating in a cupping of African Great Lakes coffees for Coffee Review’s June 2021 report. Certified fair trade, USDA Organic, and RainForest Alliance Certified. Produced by smallholding members of the COOPAC cooperative entirely of local strains of the Bourbon variety of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Big Creek Coffee Roasters is a small, quality-oriented batch roaster located in Montana’s Bitterroot Valley. Visit www.bigcreekcoffeeroasters.com or call 406-375-7508 for more information.","A rich-toned, very deeply sweet, subtly savory Rwanda cup with cocoa and floral intrigue. "
Tanzania Sambewe,Roadmap CoffeeWorks,Medium-Light,United States,Songwe Region,Mbozi District,4.98,94,June 2021,"High-toned, richly sweet, layered and complex. Mulberry, cocoa nib, myrrh, star jasmine, almond brittle in aroma and cup. Juicy-bright structure with citrusy acidity; very full, syrupy-smooth mouthfeel. Resonant, floral, cocoa-toned finish. ","This coffee tied for the highest rating in a cupping of African Great Lakes coffees for Coffee Review’s June 2021 report. Produced by multiple family farms of the Sambewe AMCOS Cooperative from trees of the N39 and KP423 varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.","A stunningly juicy, deeply rich, chocolaty cup, pleasingly complicated by notes of mulberry and almond brittle."
Rwanda Kinini Village Natural,PT's Coffee Roasting Co.,Medium-Light,United States,Northern Province,Rwanda,6.32,94,June 2021,"Juicy-sweet, fruit-forward. Blueberry pie, pink grapefruit zest, lilac, sandalwood, cocoa nib in aroma and cup. Richly sweet with bright, floral acidity; lush, satiny mouthfeel. The resonant finish centers around blueberry and sandalwood notes with pink grapefruit undertones.","This coffee tied for the highest rating in a cupping of African Great Lakes coffees for Coffee Review’s June 2021 report. Produced by Kinini Coffee, a collaboration of cooperatives that are comprised of 85% women farmers. Composed entirely of local strains of the Bourbon variety of Arabica and processed by the natural method (beans are dried in the whole fruit). Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-JAVA for more information.","A balanced, richly berry-driven natural-processed Rwanda cup, juicy and sweet."
Tanzania Peaberry,Volcanica Coffee,Medium-Light,United States,Ngorongoro Crater Region,Northern Tanzania,3.97,94,June 2021,"Sweetly pungent, floral and crisply fruit-toned. Black currant, pink grapefruit zest, honeysuckle, baking chocolate, oak in aroma and cup. Sweetly savory in structure with light-footed acidity; very creamy, ebullient mouthfeel. The sweet finish leads with notes of pink grapefruit zest and baking chocolate with hints of honeysuckle.","This coffee tied for the highest rating in a cupping of African Great Lakes coffees for Coffee Review’s June 2021 report. Utz-certified. This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different cup than normal beans from the same crop, from which they may or may not be separated during grading. Volcanica Coffee is a family-owned business in Suwanee, Georgia whose roots go back two generations to coffee farming in Costa Rica. For more information, visit www.volcanicacoffee.com.","A Kenya-like Tanzania cup — richly pungent, resonantly sweet-savory, layered and complex."
