Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number)
Moldova,MDA,2002,,43,5400,161,0,326,494,184,38,471,640,13,1079,252,343,1,28,243,6,765,0,376,287,4,,26021,151,1840,3523,4400,5,746,158
Moldova,MDA,2003,,41,5557,165,0,316,456,186,36,490,641,10,1101,234,367,0,26,271,5,777,0,376,296,3,,26725,155,1859,3641,4540,4,762,161
Moldova,MDA,2004,,40,5623,171,0,318,408,216,35,499,638,10,1102,221,399,1,23,288,4,783,0,356,293,3,,26074,155,1770,3661,4566,3,777,158
Moldova,MDA,2005,,39,6006,192,0,349,428,220,36,543,669,10,1181,213,446,0,20,320,4,848,0,366,303,3,,26655,170,1776,3936,4888,2,796,160
Moldova,MDA,2006,,35,6007,191,0,333,395,223,35,521,649,9,1150,214,477,0,17,345,4,824,2,346,286,2,2,25937,177,1660,3838,4756,2,822,158
Moldova,MDA,2007,,38,6094,186,0,320,380,245,33,505,650,10,1144,225,523,0,15,313,4,804,0,319,274,2,,26116,200,1596,3775,4663,2,846,161
Moldova,MDA,2008,,39,6164,182,0,300,369,240,33,479,625,15,1121,243,540,3,14,311,3,791,0,300,262,2,,25785,209,1500,3665,4525,2,870,161
Moldova,MDA,2009,,36,6320,183,0,292,346,216,30,471,614,9,1111,251,558,0,13,321,3,798,0,295,258,2,0,25640,217,1416,3641,4503,1,897,161
Moldova,MDA,2010,,36,6616,189,0,296,343,211,33,463,617,15,1116,243,560,1,12,345,2,821,0,301,252,1,,26111,232,1375,3714,4590,1,924,164
Moldova,MDA,2011,,32,6133,165,0,240,285,205,29,366,535,8,969,233,513,0,11,288,2,698,0,266,215,1,,23565,217,1171,3217,4006,1,953,153
Moldova,MDA,2012,,31,6265,160,0,234,282,180,27,334,515,10,964,220,501,0,10,321,2,688,1,271,206,1,0,23565,228,1098,3167,3962,1,995,155
Moldova,MDA,2013,,29,6221,146,0,212,283,171,27,288,470,8,934,211,484,0,9,257,2,654,0,269,195,1,,22990,233,1015,3026,3808,1,1045,154
Moldova,MDA,2014,,29,6580,136,0,216,259,175,28,280,471,8,994,201,493,0,9,269,2,680,0,286,215,1,,23998,249,1003,3155,3975,1,1102,161
Moldova,MDA,2015,,27,6896,123,0,215,240,169,29,264,464,10,1046,194,487,0,9,269,2,688,0,303,224,1,,25116,269,1017,3244,4097,1,1157,168
Moldova,MDA,2016,,25,6779,112,0,201,230,154,27,235,431,8,1019,183,461,0,9,248,2,650,0,300,212,1,0,25057,268,988,3086,3924,1,1202,167
Moldova,MDA,2017,,22,6421,99,0,178,174,167,25,200,388,6,937,169,440,0,9,214,2,585,0,286,192,1,,24145,255,949,2791,3582,1,1218,163
Moldova,MDA,2018,,21,6328,99,0,170,204,166,27,191,368,6,904,154,440,0,8,201,2,562,0,285,185,1,,24062,251,973,2766,3544,1,1243,164
Moldova,MDA,2019,,20,6245,97,0,167,208,163,28,184,360,6,872,142,439,0,8,193,2,549,0,284,180,1,,23438,245,971,2745,3513,1,1259,163
Monaco,MCO,1990,,0,139,0,0,1,0,0,0,2,3,0,15,1,0,0,0,0,0,5,0,3,1,0,,201,3,15,6,13,0,17,4
Monaco,MCO,1991,,0,141,0,0,1,0,0,0,2,3,0,15,1,0,0,0,0,0,5,0,3,1,0,,202,4,15,6,14,0,17,4
Monaco,MCO,1992,,0,143,0,0,1,0,1,0,2,3,0,15,1,0,0,0,0,0,5,0,3,1,0,,203,4,16,6,14,0,18,4
Monaco,MCO,1993,,0,146,0,0,1,0,1,0,2,3,0,16,1,0,0,0,0,0,5,0,3,1,0,,204,4,16,6,14,0,19,4
Monaco,MCO,1994,,0,148,0,0,1,0,1,0,2,3,0,16,1,0,0,0,0,0,5,0,3,1,0,,205,4,16,6,14,0,19,4
Monaco,MCO,1995,,0,152,0,0,1,0,1,0,2,3,0,17,1,0,0,0,0,0,5,0,3,1,0,,205,4,16,6,14,0,20,4
Monaco,MCO,1996,,0,156,0,0,1,0,1,0,2,3,0,17,1,0,0,0,0,0,5,0,3,0,0,,205,4,16,7,15,0,21,5
Monaco,MCO,1997,,0,161,0,0,1,0,1,0,2,3,0,18,1,0,0,0,0,0,5,0,3,0,0,,202,4,17,7,15,0,21,5
Monaco,MCO,1998,,0,168,0,0,1,0,1,0,1,3,0,19,1,0,0,0,0,0,5,0,3,0,0,,196,5,17,7,15,0,22,5
Monaco,MCO,1999,,0,176,0,0,1,0,1,0,1,3,0,20,1,0,0,0,0,0,5,0,3,0,0,,188,5,18,7,16,0,22,5
Monaco,MCO,2000,,0,185,0,0,1,0,1,0,1,2,0,21,0,0,0,0,0,0,5,0,3,0,0,,178,6,18,7,16,0,23,5
Monaco,MCO,2001,,0,192,0,0,1,0,1,0,1,2,0,22,0,0,0,0,0,0,5,0,3,0,0,,173,6,19,7,17,0,24,5
Monaco,MCO,2002,,0,197,0,0,1,0,1,0,1,2,0,23,0,0,0,0,0,0,5,0,4,0,0,,170,7,19,7,17,0,24,6
Monaco,MCO,2003,,0,201,0,0,1,0,1,0,1,2,0,23,0,0,0,0,0,0,5,0,4,0,0,,169,7,20,7,17,0,25,6
Monaco,MCO,2004,,0,204,0,0,1,0,1,0,1,2,0,23,0,0,0,0,0,0,5,0,4,0,0,,168,7,20,7,17,0,25,6
Monaco,MCO,2005,,0,206,0,0,1,0,1,0,1,2,0,24,0,0,0,0,0,0,6,0,4,0,0,,168,7,20,7,17,0,25,6
Monaco,MCO,2006,,0,209,0,0,1,0,1,0,1,2,0,24,0,0,0,0,0,0,6,0,4,0,0,,168,7,20,7,18,0,26,6
Monaco,MCO,2007,,0,211,0,0,1,0,1,0,1,2,0,24,0,0,0,0,0,0,6,0,4,0,0,,168,7,20,7,18,0,26,6
Monaco,MCO,2008,,0,213,0,0,1,0,1,0,1,2,0,24,0,0,0,0,0,0,6,0,4,0,0,,168,7,20,7,18,0,26,6
Monaco,MCO,2009,,0,215,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,6,0,4,0,0,,168,8,20,7,18,0,26,6
Monaco,MCO,2010,,0,216,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,6,0,4,0,0,,169,8,20,7,18,0,27,7
Monaco,MCO,2011,,0,218,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,6,0,4,0,0,,169,8,20,7,18,0,27,7
Monaco,MCO,2012,,0,219,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,6,0,4,0,0,,168,8,20,8,18,0,27,7
Monaco,MCO,2013,,0,221,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,6,0,4,0,0,,167,8,20,8,18,0,28,7
Monaco,MCO,2014,,0,222,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,6,0,4,0,0,,166,8,20,8,18,0,28,7
Monaco,MCO,2015,,0,222,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,6,0,4,0,0,,165,8,20,8,18,0,28,7
Monaco,MCO,2016,,0,222,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,6,0,4,0,0,,164,8,20,8,18,0,28,7
Monaco,MCO,2017,,0,223,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,6,0,4,0,0,,163,8,20,7,18,0,28,7
Monaco,MCO,2018,,0,224,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,6,0,4,0,0,,162,8,20,7,18,0,28,7
Monaco,MCO,2019,,0,225,0,0,1,0,1,0,1,2,0,25,0,0,0,0,0,0,5,0,4,0,0,,161,8,20,7,18,0,28,7
Mongolia,MNG,2007,0,38,3914,106,0,172,321,6,15,484,602,49,884,980,430,0,78,253,18,611,0,96,89,1,,7582,307,392,1209,1654,29,128,37
Mongolia,MNG,2008,1,34,4036,106,0,170,306,6,15,464,612,48,835,994,463,52,74,247,17,613,0,98,85,1,,7564,301,385,1233,1676,28,129,37
Mongolia,MNG,2009,0,32,4229,106,0,166,294,7,16,452,615,50,801,1006,497,26,71,245,17,613,0,102,82,1,,7769,304,388,1274,1722,26,131,38
Mongolia,MNG,1990,,381,2920,77,0,163,215,0,5,496,274,126,3127,1420,36,36,774,187,38,317,0,59,214,4,,5951,391,526,833,1408,135,140,38
Mongolia,MNG,1991,,373,3017,75,0,163,223,0,5,501,286,128,2998,1380,38,6,708,193,37,342,0,62,224,4,,6178,411,538,848,1425,130,143,40
Mongolia,MNG,1992,,383,3082,77,0,180,243,0,6,524,325,132,2912,1339,41,0,644,206,37,400,0,65,249,4,,6391,435,551,862,1449,132,146,41
Mongolia,MNG,1993,,395,3149,78,0,193,255,0,7,562,356,143,2830,1298,43,7,588,220,37,447,0,68,268,3,,6487,457,556,873,1465,136,147,41
Mongolia,MNG,1994,,384,3202,76,0,193,268,0,8,572,363,135,2683,1255,45,5,538,229,35,469,156,70,277,3,,6652,471,564,879,1469,130,151,42
Mongolia,MNG,1995,,352,3297,76,0,191,281,1,8,579,378,125,2503,1207,49,0,487,241,34,496,0,74,284,3,,7103,488,581,901,1488,120,153,44
Mongolia,MNG,1996,,320,3363,99,0,186,288,1,9,579,388,115,2326,1159,54,41,443,249,33,515,0,77,283,3,,7424,498,589,920,1501,111,152,45
Mongolia,MNG,1997,,285,3356,72,0,179,298,2,9,573,387,111,2144,1113,59,0,387,250,31,522,0,78,273,3,,7486,495,574,927,1491,100,148,44
Mongolia,MNG,1998,,246,3366,70,0,167,301,2,10,558,379,105,1954,1062,64,0,341,249,28,513,0,79,253,2,,7530,483,560,936,1482,89,143,44
Mongolia,MNG,1999,,211,3390,70,0,161,305,3,10,554,384,100,1793,1019,73,0,282,248,26,515,0,80,233,2,,7667,472,548,946,1472,80,139,43
Mongolia,MNG,2000,,169,3425,73,0,160,310,4,11,556,407,88,1641,994,92,23,232,254,25,520,0,82,205,2,,7803,449,531,976,1489,70,135,43
Mongolia,MNG,2001,,128,3510,77,0,160,315,4,11,551,435,77,1469,973,121,16,188,254,24,530,0,86,171,2,,7965,417,515,1022,1521,58,134,43
Mongolia,MNG,2002,,99,3534,84,0,162,320,5,11,540,467,68,1333,959,162,1,155,255,22,540,0,87,144,2,,7925,383,487,1058,1542,50,133,41
Mongolia,MNG,2003,,78,3583,90,0,164,322,5,12,525,505,62,1220,960,215,16,131,254,21,555,0,89,124,1,,7865,357,461,1099,1571,44,130,40
Mongolia,MNG,2004,,65,3633,97,0,171,333,5,13,518,548,59,1118,965,275,0,111,256,20,586,0,91,112,1,,7753,338,435,1132,1593,39,128,38
Mongolia,MNG,2005,,51,3727,101,0,171,334,5,14,513,577,55,1017,961,335,0,97,257,19,607,0,94,103,1,,7749,327,420,1166,1622,36,126,38
Mongolia,MNG,2006,,43,3834,103,0,169,328,5,14,502,588,51,942,966,386,0,86,256,19,605,0,96,95,1,,7745,317,408,1195,1647,32,128,38
Mongolia,MNG,2010,,30,4401,107,0,165,300,8,16,446,626,50,770,1010,535,11,69,249,16,621,0,106,81,1,,7891,305,386,1314,1769,25,134,38
Mongolia,MNG,2011,,29,4543,106,0,165,302,9,17,439,627,51,748,992,537,0,68,247,16,625,0,109,83,1,,8023,312,389,1335,1795,24,142,40
Mongolia,MNG,2012,,29,4633,105,0,163,296,10,17,427,626,50,730,962,535,0,67,244,16,618,0,109,83,1,,8009,315,385,1347,1808,23,148,40
Mongolia,MNG,2013,,29,4734,104,0,165,298,11,17,410,621,49,706,925,534,0,67,241,15,611,0,111,83,1,,7973,317,379,1362,1826,21,156,40
Mongolia,MNG,2014,,28,4827,103,0,166,297,12,17,397,621,46,670,865,537,0,65,241,15,611,0,112,84,0,,7903,320,373,1383,1848,20,163,39
Mongolia,MNG,2015,,26,4985,98,0,163,295,12,17,387,632,44,590,739,543,0,59,246,15,605,0,116,84,0,,8060,328,376,1419,1887,18,172,40
Mongolia,MNG,2016,,25,5261,95,0,157,291,13,18,382,634,44,559,674,554,12,56,248,15,608,0,122,85,0,,8571,346,400,1488,1975,17,189,45
Mongolia,MNG,2017,,25,5478,99,0,161,291,14,19,379,642,43,567,654,563,17,57,250,15,615,0,127,87,0,,8922,359,415,1543,2046,17,199,47
Mongolia,MNG,2018,,24,5702,99,0,161,289,14,19,375,664,42,549,609,573,0,53,259,15,607,0,133,88,0,,9299,373,431,1596,2110,16,212,49
Mongolia,MNG,2019,,24,5961,99,0,159,288,15,20,371,672,41,530,565,584,12,49,263,15,592,0,139,89,0,,9806,391,453,1656,2185,15,225,53
Montenegro,MNE,1990,,3,952,12,0,14,29,1,1,6,67,1,57,99,7,0,1,5,1,103,0,82,5,1,,2347,73,54,36,104,0,115,28
Montenegro,MNE,1991,,3,941,12,0,16,30,1,1,6,71,1,55,88,7,0,1,5,1,107,0,80,5,1,,2303,72,52,35,103,0,118,26
Montenegro,MNE,1992,,3,961,12,0,15,30,1,1,6,70,1,55,84,7,0,1,5,1,108,0,83,5,1,,2371,74,53,36,106,0,121,27
Montenegro,MNE,1993,,3,1009,12,0,14,30,1,1,7,65,1,57,84,7,0,1,5,1,104,0,88,4,1,,2529,77,57,38,111,0,123,28
Montenegro,MNE,1994,,3,1052,13,0,14,31,1,1,7,64,1,59,84,7,0,1,5,1,105,0,95,4,1,,2683,81,59,40,117,0,126,29
Montenegro,MNE,1995,,3,1080,13,0,14,31,2,1,7,63,1,60,81,7,0,1,6,1,106,0,98,4,1,,2778,84,61,41,120,0,128,30
Montenegro,MNE,1996,,3,1115,13,0,14,31,2,1,7,63,1,61,80,8,0,1,6,1,108,0,103,4,1,,2878,87,63,42,124,0,130,31
Montenegro,MNE,1997,,3,1167,13,0,14,31,2,1,8,65,1,62,77,8,0,1,6,1,113,0,108,5,1,,3002,91,65,44,129,0,131,32
Montenegro,MNE,1998,,3,1192,14,0,15,33,2,1,8,70,1,62,73,8,0,1,6,1,120,0,111,5,1,,3011,92,65,44,130,0,132,32
Montenegro,MNE,1999,,3,1208,14,0,17,35,3,2,8,78,1,64,71,8,1,1,6,1,128,0,112,5,1,,3027,94,65,44,131,0,133,32
Montenegro,MNE,2000,,3,1237,14,0,16,34,3,2,8,76,1,64,72,8,0,1,6,1,126,1,116,5,1,,3069,95,65,45,132,0,136,32
Montenegro,MNE,2001,,3,1282,14,0,15,33,3,1,8,72,1,63,71,9,0,1,6,1,124,1,119,5,1,1,3144,98,66,46,135,0,137,33
Montenegro,MNE,2002,,2,1325,13,0,14,32,3,1,8,69,1,63,65,9,0,1,6,1,122,0,124,4,1,,3230,103,68,47,139,0,140,35
Montenegro,MNE,2003,,2,1369,14,0,13,31,3,1,7,71,1,65,60,9,0,1,6,1,126,0,129,4,1,,3357,108,70,48,143,0,143,37
Montenegro,MNE,2004,,2,1406,14,0,14,30,3,1,7,72,1,65,54,9,0,1,6,1,128,0,131,4,1,,3465,112,73,48,146,0,145,38
Montenegro,MNE,2005,,2,1442,14,0,14,29,3,1,7,75,1,67,50,9,0,1,6,1,132,0,134,4,1,,3571,116,76,49,149,0,147,40
Montenegro,MNE,2006,,2,1462,14,0,13,28,2,1,7,77,1,67,45,9,0,1,6,1,134,0,136,4,1,,3647,117,77,49,151,0,150,42
Montenegro,MNE,2007,,2,1477,14,0,13,27,2,1,6,76,1,67,40,9,0,1,6,1,132,0,138,4,1,0,3724,118,78,49,152,0,151,44
Montenegro,MNE,2008,,2,1491,13,0,12,26,2,1,6,73,1,67,38,9,0,1,6,1,129,0,138,4,1,,3753,119,78,49,152,0,152,46
Montenegro,MNE,2009,,2,1507,13,0,12,25,2,1,6,71,1,67,34,9,0,1,6,1,127,0,139,4,1,,3783,119,79,49,153,0,154,47
Montenegro,MNE,2010,,2,1512,13,0,11,24,2,1,5,66,1,67,32,8,0,1,6,1,122,0,140,4,1,,3784,119,79,49,152,0,156,48
Montenegro,MNE,2011,,1,1528,13,0,10,24,2,1,5,64,1,67,26,8,0,1,5,1,120,0,142,4,1,,3816,120,80,49,152,0,159,50
Montenegro,MNE,2012,,1,1534,13,0,10,23,2,1,5,63,1,67,24,8,0,1,6,1,118,0,143,3,1,,3837,121,82,48,151,0,163,51
Montenegro,MNE,2013,,1,1559,13,0,11,23,2,1,5,63,1,69,22,8,0,1,5,1,118,0,146,3,1,0,3902,123,84,49,152,0,167,53
Montenegro,MNE,2014,,1,1586,13,0,11,23,2,1,5,63,1,70,21,8,0,1,5,1,118,0,149,4,1,,3979,125,86,49,153,0,170,55
Montenegro,MNE,2015,,1,1607,13,0,10,22,2,1,5,62,0,71,16,8,0,1,5,1,117,0,152,3,1,0,4039,127,87,50,154,0,174,56
Montenegro,MNE,2016,,1,1625,13,0,10,22,2,1,5,61,0,71,16,8,0,1,5,1,119,0,154,3,1,,4047,128,88,50,154,0,176,57
Montenegro,MNE,2017,,1,1643,12,0,10,22,1,1,5,60,0,72,15,8,0,1,5,1,119,0,155,3,1,,4066,129,89,50,154,0,179,58
Montenegro,MNE,2018,,1,1640,12,0,10,22,1,1,4,59,0,70,14,8,0,1,5,1,118,1,153,3,1,,4007,128,86,50,154,0,181,57
Montenegro,MNE,2019,,1,1644,12,0,9,21,1,1,4,59,0,69,13,8,0,1,5,1,117,0,152,3,1,,3943,127,85,50,153,0,185,57
Morocco,MAR,1990,,1586,11070,1032,0,690,142,103,117,6979,9267,2562,12330,19249,70,0,12334,117,470,1865,0,1805,310,437,,57888,3551,4982,2733,4809,778,1888,404
Morocco,MAR,1991,,1514,11483,1028,0,673,143,127,125,6894,9383,2519,11786,19087,72,0,11352,117,447,1910,22,1879,308,414,3,59719,3679,5121,2784,4870,773,1965,423
Morocco,MAR,1992,,1486,12146,1105,0,749,162,155,137,6858,10666,2487,11429,18856,76,0,10521,124,448,2054,2,1989,330,412,2,62875,3881,5403,2910,5058,799,2041,451
Morocco,MAR,1993,,1447,12667,1126,0,754,177,187,149,6874,11039,2386,11054,18500,79,0,9718,125,435,2152,0,2084,336,398,,65445,4029,5600,2981,5154,801,2115,475
Morocco,MAR,1994,,1400,12949,1122,0,743,198,223,157,6785,10932,2211,10653,17964,80,0,8966,125,428,2186,0,2137,333,391,0,66526,4121,5677,3008,5177,774,2187,490
Morocco,MAR,1995,,1371,13292,1126,0,739,228,264,166,6743,10962,2083,10392,17675,81,791,8335,125,410,2237,0,2206,332,374,0,68162,4253,5809,3052,5239,755,2265,510
Morocco,MAR,1996,,1337,13608,1119,0,727,262,308,175,6579,10946,1985,10077,17378,82,39,7661,123,398,2285,0,2276,330,362,0,69194,4356,5873,3076,5257,716,2349,526
Morocco,MAR,1997,,1307,14016,1150,0,720,306,355,186,6465,10972,1916,9818,17221,84,60,7078,122,394,2389,6,2366,329,358,,70916,4491,6018,3131,5338,671,2433,549
Morocco,MAR,1998,,1302,14347,1102,0,694,352,407,195,6234,10875,1788,9491,16971,84,0,6566,122,387,2458,10,2441,321,351,,72395,4626,6161,3183,5420,622,2520,577
Morocco,MAR,1999,,1222,14848,1101,0,677,404,466,207,6163,10903,1686,9228,16679,86,0,6143,123,374,2572,0,2561,320,338,,74713,4839,6366,3265,5555,585,2610,610
Morocco,MAR,2000,,1173,14921,1063,0,649,432,532,214,5955,10659,1517,8811,16371,85,6,5726,119,362,2594,0,2635,312,327,,73717,4851,6273,3226,5483,544,2696,606
Morocco,MAR,2001,,1137,15263,1036,0,629,456,603,225,5855,10578,1286,8497,16002,86,15,5341,117,350,2652,0,2787,311,315,,73896,4967,6284,3226,5483,521,2808,616
Morocco,MAR,2002,,1106,15638,1058,0,608,462,677,232,5731,10381,1139,8299,15689,86,80,5008,116,333,2661,1,2957,309,297,,75065,5175,6393,3256,5552,496,2952,649
Morocco,MAR,2003,,1072,16300,996,0,591,471,749,241,5693,10405,1004,8170,15268,88,35,4682,117,330,2708,77,3191,307,292,45,78456,5502,6690,3334,5703,485,3111,709
Morocco,MAR,2004,,1029,16803,977,0,570,469,776,248,5653,10297,929,7994,14737,89,628,4416,117,321,2726,0,3390,305,282,,80401,5702,6835,3367,5767,470,3253,742
Morocco,MAR,2005,,970,17335,964,0,552,466,781,255,5602,10215,918,7825,14188,90,3,4153,117,314,2749,0,3597,302,275,,82674,5903,7008,3413,5850,457,3408,782
Morocco,MAR,2006,,903,17923,952,0,537,465,809,264,5539,10130,890,7652,13531,92,17,3890,117,302,2770,2,3813,299,262,,85163,6132,7196,3467,5936,444,3563,826
Morocco,MAR,2007,,857,18575,948,0,527,463,846,276,5505,10200,860,7490,12711,94,2,3641,117,296,2824,2,4035,298,255,13,87876,6379,7397,3540,6056,434,3728,870
Morocco,MAR,2008,,842,19150,950,0,526,458,877,288,5424,10282,811,7434,12178,96,39,3466,118,282,2865,0,4217,299,241,,89746,6584,7536,3599,6149,423,3880,906
Morocco,MAR,2009,,818,19735,946,0,522,452,882,299,5301,10313,830,7309,11523,97,30,3263,118,270,2891,0,4394,297,229,,91495,6798,7663,3659,6238,411,4031,940
Morocco,MAR,2010,,756,20312,935,0,509,446,897,311,5143,10293,822,7105,10832,99,42,2976,117,259,2908,14,4570,292,218,,93006,7010,7761,3712,6309,402,4183,974
Morocco,MAR,2011,,674,20906,918,0,488,438,929,322,4972,10248,805,6872,10060,100,0,2680,115,250,2883,18,4742,285,208,17,94564,7181,7853,3764,6371,393,4327,1008
Morocco,MAR,2012,,596,21615,905,0,472,429,920,334,4828,10230,789,6735,9452,102,0,2451,114,243,2818,1,4929,280,202,,96921,7398,8005,3842,6479,389,4496,1050
Morocco,MAR,2013,,545,23325,880,0,430,393,865,335,4726,9336,768,7000,8802,103,0,2279,117,251,2628,2,5383,265,207,,107171,8197,8929,4152,7020,400,4671,1240
Morocco,MAR,2014,,516,23982,876,0,428,391,789,347,4625,9357,741,6863,8158,104,60,2159,116,242,2567,3,5554,263,197,,108079,8366,8941,4195,7053,397,4680,1254
Morocco,MAR,2015,,486,24665,863,0,415,385,728,358,4502,9322,708,6687,7502,105,0,1984,114,241,2536,4,5737,257,197,0,109198,8542,8956,4236,7081,394,4700,1270
Morocco,MAR,2016,,460,25420,850,0,402,378,660,370,4372,9287,671,6547,6845,107,0,1829,112,230,2532,3,5933,251,186,,110845,8719,9032,4304,7151,394,4742,1293
Morocco,MAR,2017,,439,26250,838,0,387,369,600,383,4233,9247,631,6432,6194,108,0,1700,109,226,2530,2,6138,245,182,,112904,8905,9145,4407,7276,396,4808,1320
Morocco,MAR,2018,,419,27143,824,0,371,360,543,395,4067,9239,593,6335,5583,109,0,1532,106,221,2538,2,6386,239,176,,115052,9120,9263,4482,7351,390,4876,1356
Morocco,MAR,2019,,400,27967,808,0,354,350,494,407,3932,9184,567,6248,5135,111,0,1375,104,215,2566,0,6617,232,171,,117034,9320,9373,4551,7422,386,4945,1390
Mozambique,MOZ,1990,,4285,5897,542,30036,779,542,2255,19,18575,2670,1683,20901,19561,102,0,27680,115,10090,900,1944,2015,491,9764,185,15537,1245,2451,1680,3729,677,632,153
Mozambique,MOZ,1991,,4198,5908,529,29877,779,598,3396,20,18312,2644,1563,20266,19255,102,0,26497,113,9839,899,2122,2027,481,9522,271,15604,1260,2464,1685,3728,671,650,155
Mozambique,MOZ,1992,,4114,5992,527,29930,733,549,5042,20,18301,2681,1504,19788,19613,103,0,26253,113,9653,919,676,2065,479,9341,155,15851,1295,2512,1711,3774,675,675,159
Mozambique,MOZ,1993,,4164,6150,531,30073,754,586,7465,22,18486,2792,1499,19700,20985,107,0,26356,117,9574,962,0,2118,486,9265,,16155,1349,2577,1764,3881,690,701,163
Mozambique,MOZ,1994,,4299,6306,542,30458,739,627,10749,23,18686,2914,1527,20126,22625,109,240,26523,120,9699,997,0,2153,499,9391,0,16320,1401,2633,1807,3978,702,727,166
Mozambique,MOZ,1995,,4535,6428,555,30789,758,659,14782,24,19041,3009,1567,20618,23690,112,0,27051,123,9858,1026,15,2190,509,9554,15,16483,1453,2694,1840,4050,711,750,169
Mozambique,MOZ,1996,,4434,6560,556,30669,767,667,19479,26,19085,3071,1579,20423,24192,115,11,26507,124,9656,1049,0,2236,512,9360,,16681,1506,2749,1873,4111,714,779,173
Mozambique,MOZ,1997,,4533,6732,558,30541,778,676,24887,27,18979,3134,1573,19966,24666,118,35,25704,124,9211,1081,0,2296,512,8927,,16953,1565,2811,1919,4191,714,811,179
Mozambique,MOZ,1998,,4537,6910,565,30748,748,690,30875,29,18770,3209,1518,19683,25159,123,87,24435,124,8805,1112,1,2355,517,8534,,17190,1625,2870,1964,4276,713,843,185
Mozambique,MOZ,1999,,4519,7094,573,31308,781,702,37324,30,18743,3299,1469,19537,25611,127,23,22840,125,8412,1148,0,2418,525,8153,0,17504,1687,2935,2007,4361,711,875,190
Mozambique,MOZ,2000,,4624,7275,579,31062,779,741,44118,32,18956,3387,1421,19417,25974,132,832,19849,126,7997,1189,1,2496,530,7754,1,18015,1754,3010,2046,4444,706,914,198
Mozambique,MOZ,2001,,4547,7280,566,31997,732,785,50982,33,18671,3361,1360,18747,25978,134,79,18084,124,7324,1198,0,2506,517,7105,,18078,1766,2991,2040,4449,641,933,199
Mozambique,MOZ,2002,,4438,7435,560,31173,689,830,57876,35,18704,3389,1371,18282,25954,139,3,16676,124,6746,1239,7,2584,512,6540,,18662,1802,3013,2091,4567,569,974,207
Mozambique,MOZ,2003,,4325,7605,554,30454,672,894,64331,37,18694,3434,1379,17736,25882,143,49,15422,124,6187,1284,0,2651,507,5993,,19129,1825,3018,2115,4652,505,998,210
Mozambique,MOZ,2004,,4186,7879,557,28274,682,994,70176,40,18941,3532,1419,17486,25843,150,0,14499,126,5764,1352,3,2764,511,5576,,19958,1872,3062,2175,4812,470,1034,217
Mozambique,MOZ,2005,,4179,8203,565,26154,657,1125,75008,44,19257,3664,1513,17251,25864,158,5,13747,129,5397,1439,12,2901,518,5213,,20910,1930,3110,2261,5007,461,1072,224
